time,veh_u,veh_v,model_GRU_lon_2080.pt
3.35,4.50661,0.0,4.4929327964782715
3.36,4.53265,0.0,4.51980447769165
3.37,4.5587,0.0,4.5471014976501465
3.38,4.58476,0.0,4.574795722961426
3.39,4.61081,0.0,4.60262393951416
3.4,4.63686,0.0,4.630124092102051
3.41,4.66289,0.0,4.65696382522583
3.42,4.68891,0.0,4.6830058097839355
3.43,4.7149,0.0,4.708312034606934
3.44,4.74085,0.0,4.733209609985352
3.45,4.76676,0.0,4.757967472076416
3.46,4.79263,0.0,4.78283166885376
3.47,4.81843,0.0,4.807877540588379
3.48,4.84417,0.0,4.832955360412598
3.49,4.86984,0.0,4.858401298522949
3.5,4.89543,0.0,4.883881568908691
3.51,4.91588,0.0,4.909138202667236
3.52,4.94633,0.0,4.934107780456543
3.53,4.96664,0.0,4.958501815795898
3.54,4.99685,0.0,4.982356071472168
3.55,5.01699,0.0,5.005575656890869
3.56,5.04694,0.0,5.029253959655762
3.57,5.0669,0.0,5.053532600402832
3.58,5.09659,0.0,5.078375339508057
3.59,5.12124,0.0,5.103708267211914
3.6,5.14579,0.0,5.129655838012695
3.61,5.17025,0.0,5.156171798706055
3.62,5.19458,0.0,5.183045387268066
3.63,5.21882,0.0,5.21025276184082
3.64,5.24297,0.0,5.237435817718506
3.65,5.26705,0.0,5.264297008514404
3.66,5.29104,0.0,5.291244029998779
3.67,5.31497,0.0,5.318711757659912
3.68,5.33885,0.0,5.345885276794434
3.69,5.36268,0.0,5.3721818923950195
3.7,5.38648,0.0,5.398239612579346
3.71,5.41026,0.0,5.424190521240234
3.72,5.43403,0.0,5.449835300445557
3.73,5.4578,0.0,5.474905490875244
3.74,5.48158,0.0,5.499935150146484
3.75,5.50539,0.0,5.525100231170654
3.76,5.52451,0.0,5.550240516662598
3.77,5.55313,0.0,5.5753173828125
3.78,5.57233,0.0,5.5998077392578125
3.79,5.6011,0.0,5.6241888999938965
3.8,5.62043,0.0,5.648453712463379
3.81,5.64937,0.0,5.673150539398193
3.82,5.66883,0.0,5.697776794433594
3.83,5.698,0.0,5.722535610198975
3.84,5.72247,0.0,5.74763298034668
3.85,5.74703,0.0,5.772747039794922
3.86,5.7717,0.0,5.797598838806152
3.87,5.79648,0.0,5.8220086097717285
3.88,5.82138,0.0,5.846420764923096
3.89,5.84635,0.0,5.871002197265625
3.9,5.87144,0.0,5.895486831665039
3.91,5.89665,0.0,5.919987201690674
3.92,5.92191,0.0,5.944563865661621
3.93,5.94729,0.0,5.969085216522217
3.94,5.97275,0.0,5.993839263916016
3.95,5.99829,0.0,6.019219875335693
3.96,6.02389,0.0,6.044924736022949
3.97,6.04957,0.0,6.0705246925354
3.98,6.0753,0.0,6.09621524810791
3.99,6.10109,0.0,6.12244176864624
4.0,6.12693,0.0,6.149208068847656
4.01,6.1528,0.0,6.17645788192749
4.02,6.17357,0.0,6.203465938568115
4.03,6.19949,0.0,6.230003356933594
4.04,6.23059,0.0,6.256596565246582
4.05,6.25656,0.0,6.283299922943115
4.06,6.27738,0.0,6.309697151184082
4.07,6.30337,0.0,6.3358306884765625
4.08,6.33451,0.0,6.361749649047852
4.09,6.3605,0.0,6.387909889221191
4.1,6.38648,0.0,6.414113521575928
4.11,6.41246,0.0,6.440365791320801
