time,veh_u,veh_v,model_T_lon_1560.pt
4.74,1.33559,0.00509,1.062042474746704
4.75,1.33794,0.0046,1.0654613971710205
4.76,1.34029,0.00403,1.0679781436920166
4.77,1.34218,0.0035,1.0708359479904175
4.78,1.34503,0.00261,1.0738537311553955
4.79,1.34741,0.00178,1.075974464416504
4.8,1.34982,0.0,1.078587532043457
4.81,1.35176,0.0,1.080700159072876
4.82,1.35469,0.0,1.083073616027832
4.83,1.35716,0.0,1.085174798965454
4.84,1.35965,0.0,1.0874273777008057
4.85,1.36167,0.0,1.089874267578125
4.86,1.36472,0.0,1.092301368713379
4.87,1.3673,0.0,1.0947234630584717
4.88,1.3699,0.0,1.0965269804000854
4.89,1.37254,0.0,1.0987534523010254
4.9,1.3752,0.0,1.1002588272094727
4.91,1.37789,0.0,1.1021840572357178
4.92,1.3806,0.0,1.1032662391662598
4.93,1.38333,0.0,1.1055548191070557
4.94,1.38609,0.0,1.1080878973007202
4.95,1.38886,0.0,1.110334873199463
4.96,1.39165,0.0,1.112227201461792
4.97,1.39444,0.0,1.1147150993347168
4.98,1.39724,0.0,1.1176509857177734
4.99,1.40004,0.0,1.1211161613464355
5.0,1.40283,0.0,1.1223276853561401
5.01,1.40561,0.0,1.1245927810668945
5.02,1.40782,0.0,1.12631356716156
5.03,1.41111,0.0,1.1278032064437866
5.04,1.41382,0.0,1.12887442111969
5.05,1.4165,0.0,1.1304625272750854
5.06,1.41862,0.0,1.1319468021392822
5.07,1.42173,0.0,1.1332039833068848
5.08,1.42427,0.0,1.1345038414001465
5.09,1.42675,0.0,1.1357049942016602
5.1,1.4287,0.0,1.1375874280929565
5.11,1.43153,0.0,1.1394093036651611
5.12,1.43382,0.0,1.1412490606307983
5.13,1.43603,0.0,1.142606258392334
5.14,1.43817,0.0,1.144417643547058
5.15,1.44023,0.0,1.1463696956634521
5.16,1.44221,0.0,1.148059606552124
5.17,1.4441,0.0,1.1496341228485107
5.18,1.44592,0.0,1.1512072086334229
5.19,1.44766,0.0,1.1526024341583252
5.2,1.44931,0.0,1.1543750762939453
5.21,1.45089,0.0,1.1561942100524902
5.22,1.4524,0.0,1.1576672792434692
5.23,1.45383,0.0,1.15938138961792
5.24,1.4552,0.0,1.161458969116211
5.25,1.4565,0.0,1.162733793258667
5.26,1.45775,0.0,1.1635689735412598
5.27,1.45871,0.00169,1.1653311252593994
5.28,1.46008,0.0033,1.1666200160980225
5.29,1.46119,0.00456,1.167542815208435
5.3,1.46226,0.00573,1.1690571308135986
5.31,1.46309,0.0066,1.1704659461975098
5.32,1.46432,0.00776,1.1723897457122803
5.33,1.46532,0.0086,1.1742500066757202
5.34,1.46632,0.00932,1.175070881843567
5.35,1.46711,0.0098,1.1762058734893799
5.36,1.4683,0.01035,1.1776236295700073
5.37,1.4693,0.01066,1.1788986921310425
5.38,1.47031,0.01083,1.1793104410171509
5.39,1.47133,0.01085,1.180840253829956
5.4,1.47238,0.01075,1.1819379329681396
5.41,1.47345,0.0105,1.1834402084350586
5.42,1.47454,0.01013,1.1841589212417603
5.43,1.47566,0.00965,1.1852904558181763
5.44,1.47681,0.00904,1.1865960359573364
5.45,1.47798,0.00834,1.1876822710037231
5.46,1.47919,0.00755,1.189223289489746
5.47,1.48042,0.00668,1.189253330230713
5.48,1.48168,0.00574,1.1904610395431519
5.49,1.48296,0.00476,1.191933512687683
5.5,1.48427,0.00373,1.1930798292160034
5.51,1.48559,0.00269,1.1942760944366455
5.52,1.48667,0.00185,1.1956642866134644
5.53,1.48829,0.0,1.1967620849609375
5.54,1.48966,0.0,1.197526454925537
5.55,1.49103,0.0,1.1979844570159912
5.56,1.49213,0.0,1.1989622116088867
5.57,1.49378,0.0,1.1998423337936401
5.58,1.49515,0.0,1.2013789415359497
5.59,1.49651,0.0,1.2028992176055908
5.6,1.49759,0.0,1.20320463180542
5.61,1.4992,0.0,1.2047938108444214
5.62,1.50052,0.0,1.2063322067260742
5.63,1.50183,0.0,1.207256555557251
5.64,1.50312,0.0,1.2085392475128174
5.65,1.50439,0.0,1.2086210250854492
5.66,1.50564,0.0,1.2107712030410767
5.67,1.50687,0.0,1.2115297317504883
5.68,1.50808,0.0,1.2131266593933105
5.69,1.50927,0.0,1.214176058769226
5.7,1.51044,0.0,1.2150697708129883
5.71,1.5116,0.0,1.2166788578033447
5.72,1.51274,0.0,1.2180745601654053
5.73,1.51387,0.0,1.2191715240478516
5.74,1.51499,0.0,1.21998929977417
5.75,1.51611,0.0,1.2214738130569458
5.76,1.51722,0.0,1.2226852178573608
5.77,1.51811,0.0,1.2237191200256348
5.78,1.51944,0.0,1.224752426147461
5.79,1.52055,0.00175,1.2257564067840576
5.8,1.52168,0.00269,1.2265682220458984
5.81,1.52258,0.00343,1.2275152206420898
5.82,1.52396,0.00451,1.228575348854065
5.83,1.52511,0.00537,1.2292554378509521
5.84,1.52629,0.0062,1.2312283515930176
5.85,1.52724,0.00683,1.2324612140655518
5.86,1.52869,0.0077,1.2334773540496826
5.87,1.52991,0.00836,1.2343484163284302
5.88,1.53116,0.00895,1.2353498935699463
5.89,1.53242,0.00947,1.2355778217315674
5.9,1.5337,0.00992,1.2362163066864014
5.91,1.535,0.01028,1.236961007118225
5.92,1.53631,0.01057,1.238146424293518
5.93,1.53764,0.01078,1.2391431331634521
5.94,1.53897,0.01091,1.2401350736618042
5.95,1.54032,0.01095,1.2409389019012451
5.96,1.54167,0.01092,1.2413556575775146
5.97,1.54303,0.01081,1.242717981338501
5.98,1.54439,0.01062,1.2433357238769531
5.99,1.54574,0.01036,1.2440705299377441
6.0,1.54709,0.01003,1.244625449180603
6.01,1.54843,0.00964,1.246142864227295
6.02,1.54949,0.00927,1.2476903200149536
6.03,1.55107,0.00866,1.2480390071868896
6.04,1.55236,0.00809,1.249022364616394
6.05,1.55364,0.00747,1.2499867677688599
6.06,1.55464,0.00694,1.250986099243164
6.07,1.5561,0.00609,1.2508195638656616
6.08,1.55729,0.00535,1.251049280166626
6.09,1.55845,0.00457,1.2509205341339111
6.1,1.55936,0.00393,1.2519757747650146
6.11,1.56067,0.00295,1.2533164024353027
6.12,1.56172,0.00211,1.2533057928085327
6.13,1.56274,0.00126,1.2535169124603271
6.14,1.56352,0.0,1.253926396369934
6.15,1.56465,0.0,1.2547264099121094
6.16,1.56555,0.0,1.255344271659851
6.17,1.56642,0.0,1.2554296255111694
6.18,1.56724,0.0,1.25664484500885
6.19,1.56803,0.0,1.2574528455734253
6.2,1.56879,0.0,1.258352518081665
6.21,1.56951,0.0,1.258016586303711
