time,veh_u,veh_v,model_LSTM_lon_2139.pt
12.24,29.865,0.0,29.80670738220215
12.25,29.90892,0.0,29.839815139770508
12.26,29.95315,0.0,29.873445510864258
12.27,29.99771,0.0,29.907276153564453
12.28,30.03369,0.0,29.941869735717773
12.29,30.07885,0.0,29.9775333404541
12.3,30.13336,0.0,30.01526641845703
12.31,30.17922,0.0,30.05492401123047
12.32,30.22537,0.0,30.096580505371094
12.33,30.27177,0.0,30.13913917541504
12.34,30.3184,0.0,30.183639526367188
12.35,30.36518,0.0,30.228769302368164
12.36,30.41208,0.0,30.273801803588867
12.37,30.44973,0.0,30.31780433654785
12.38,30.50591,0.0,30.359952926635742
12.39,30.55266,0.0,30.399499893188477
12.4,30.5992,0.0,30.43572998046875
12.41,30.64542,0.0,30.46808624267578
12.42,30.69119,0.0,30.496662139892578
12.43,30.73641,0.0,30.521520614624023
12.44,30.78095,0.0,30.54293441772461
12.45,30.8161,0.0,30.56109046936035
12.46,30.86747,0.0,30.57662010192871
12.47,30.90921,0.0,30.5897159576416
12.48,30.94974,0.0,30.600725173950195
12.49,30.98895,0.0,30.609838485717773
12.5,31.02668,0.0,30.617462158203125
12.51,31.06284,0.0,30.623868942260742
12.52,31.09729,0.0,30.62923812866211
12.53,31.12362,0.0,30.633739471435547
12.54,31.15473,0.0,30.63753890991211
12.55,31.18933,0.0,30.64072608947754
12.56,31.21593,0.0,30.643375396728516
12.57,31.24034,0.0,30.64559555053711
12.58,31.26253,0.0,30.64743423461914
12.59,31.28243,0.0,30.648969650268555
12.6,31.30001,0.0,30.650251388549805
12.61,31.31527,0.0,30.65135383605957
12.62,31.32583,0.0,30.652301788330078
12.63,31.33881,0.0,30.653087615966797
12.64,31.34713,0.0,30.65375328063965
12.65,31.35321,0.0,30.654321670532227
12.66,31.35711,0.0,30.65479850769043
12.67,31.3589,0.0,30.65520668029785
12.68,31.35867,0.0,30.655550003051758
12.69,31.35651,0.0,30.65585708618164
12.7,31.35348,0.0,30.65610694885254
12.71,31.34691,0.0,30.65631675720215
12.72,31.33971,0.0,30.65645980834961
12.73,31.33109,0.0,30.656578063964844
12.74,31.3212,0.0,30.65665626525879
12.75,31.31019,0.0,30.656696319580078
12.76,31.2982,0.0,30.656707763671875
12.77,31.2854,0.0,30.65669059753418
12.78,31.27463,0.0,30.656627655029297
12.79,31.26072,0.0,30.656532287597656
12.8,31.24357,0.0,30.656389236450195
12.81,31.22898,0.0,30.656211853027344
12.82,31.21429,0.0,30.655981063842773
12.83,31.19963,0.0,30.655698776245117
12.84,31.18512,0.0,30.655359268188477
12.85,31.17088,0.0,30.654964447021484
12.86,31.15699,0.0,30.654483795166016
12.87,31.14617,0.0,30.6539249420166
12.88,31.13063,0.0,30.653263092041016
12.89,31.1183,0.0,30.652475357055664
12.9,31.1066,0.0,30.651554107666016
12.91,31.09557,0.0,30.650493621826172
12.92,31.08525,0.0,30.649293899536133
12.93,31.07565,0.0,30.647911071777344
12.94,31.06676,0.0,30.646366119384766
12.95,31.06015,0.0,30.64461898803711
12.96,31.05112,0.0,30.642698287963867
12.97,31.04432,0.0,30.640615463256836
12.98,31.03815,0.0,30.638395309448242
12.99,31.03256,0.0,30.63612174987793
13.0,31.02752,0.0,30.633867263793945
13.01,31.02295,0.0,30.631650924682617
13.02,31.01881,0.0,30.629547119140625
13.03,31.01574,0.0,30.62761878967285
13.04,31.01217,0.0,30.625978469848633
13.05,31.00819,0.0,30.624753952026367
13.06,31.00503,0.0,30.62396240234375
13.07,31.00193,0.0,30.62354850769043
13.08,30.99882,0.0,30.62340545654297
13.09,30.99563,0.0,30.623456954956055
13.1,30.9923,0.0,30.623558044433594
13.11,30.98875,0.0,30.623517990112305
13.12,30.9857,0.0,30.62325668334961
13.13,30.98076,0.0,30.62299156188965
13.14,30.9762,0.0,30.622591018676758
13.15,30.97121,0.0,30.62204933166504
13.16,30.96572,0.0,30.62141990661621
13.17,30.95971,0.0,30.62073516845703
13.18,30.95313,0.0,30.61995506286621
13.19,30.94595,0.0,30.61896324157715
13.2,30.93975,0.0,30.617944717407227
